Date,TikTok,Facebook,Google Ads,Sales
2019-01-06,5578.01,0.0,1988.48,10361.99
2019-01-13,0.0,5392.76,2258.0,11393.51
2019-01-20,0.0,0.0,0.0,8844.5
2019-01-27,13833.9,4229.47,0.0,12070.98
2019-02-03,0.0,0.0,1554.27,10861.06
2019-02-10,0.0,0.0,1975.85,11283.07
2019-02-17,0.0,0.0,2270.37,10482.49
2019-02-24,0.0,3706.0,1962.33,11740.02
2019-03-03,0.0,0.0,1851.96,11391.68
2019-03-10,0.0,5045.6,1983.53,10827.28
2019-03-17,0.0,0.0,1705.02,10538.44
2019-03-24,10596.0,0.0,2079.74,12055.91
2019-03-31,0.0,0.0,2660.12,12565.41
2019-04-07,11881.42,0.0,2336.26,14375.0
2019-04-14,0.0,4887.44,0.0,12851.51
2019-04-21,7892.83,4378.47,1831.66,13226.32
2019-04-28,0.0,0.0,1948.82,13108.71
2019-05-05,8789.38,0.0,0.0,10594.38
2019-05-12,0.0,0.0,1844.63,12353.31
2019-05-19,0.0,0.0,1877.44,10262.92
2019-05-26,0.0,0.0,0.0,7485.14
2019-06-02,0.0,0.0,0.0,10676.01
2019-06-09,7188.39,0.0,0.0,10919.05
2019-06-16,0.0,5062.63,1770.56,10232.93
2019-06-23,0.0,6640.15,1662.56,11064.04
2019-06-30,0.0,4650.68,1875.25,10465.12
2019-07-07,0.0,0.0,1492.37,9618.75
2019-07-14,11446.69,0.0,2237.45,10082.35
2019-07-21,3966.1,5341.82,1892.49,11141.15
2019-07-28,0.0,0.0,0.0,9632.53
2019-08-04,0.0,2824.52,2517.08,10051.41
2019-08-11,10708.04,0.0,2343.25,11745.65
2019-08-18,0.0,0.0,0.0,9016.46
2019-08-25,0.0,0.0,2267.31,10690.61
2019-09-01,0.0,4630.38,2339.46,9204.2
2019-09-08,0.0,5055.07,1863.41,9853.99
2019-09-15,0.0,0.0,0.0,6713.96
2019-09-22,10486.11,0.0,0.0,8305.56
2019-09-29,14322.42,0.0,1649.64,11825.87
2019-10-06,0.0,3731.93,0.0,9432.43
2019-10-13,0.0,0.0,1448.66,9903.91
2019-10-20,0.0,3570.7,1773.3,9837.35
2019-10-27,0.0,0.0,1982.61,8576.24
2019-11-03,0.0,4767.5,0.0,8879.95
2019-11-10,12792.12,0.0,0.0,9976.44
2019-11-17,0.0,0.0,0.0,8987.29
2019-11-24,10775.37,0.0,1996.6,11930.82
2019-12-01,11038.72,0.0,2334.22,12666.84
2019-12-08,0.0,0.0,0.0,10169.84
2019-12-15,0.0,0.0,2049.96,10062.5
2019-12-22,0.0,4346.27,1871.35,11485.86
2019-12-29,0.0,0.0,0.0,9744.86
2020-01-05,0.0,5946.81,0.0,11075.28
2020-01-12,0.0,4666.26,0.0,12266.24
2020-01-19,0.0,0.0,1889.76,11403.8
2020-01-26,0.0,0.0,2248.15,10841.51
2020-02-02,0.0,4519.51,2137.26,11628.87
2020-02-09,0.0,0.0,0.0,9793.04
2020-02-16,0.0,0.0,0.0,9269.43
2020-02-23,0.0,0.0,2627.29,10360.53
2020-03-01,7727.37,5605.6,0.0,12361.46
2020-03-08,0.0,0.0,2125.45,11881.42
2020-03-15,12684.15,7109.04,2677.25,15399.81
2020-03-22,0.0,0.0,2245.97,12970.14
2020-03-29,0.0,0.0,0.0,11166.32
2020-04-05,9947.41,0.0,1997.99,12119.09
2020-04-12,0.0,2367.29,1914.7,13816.49
2020-04-19,0.0,0.0,0.0,11219.59
2020-04-26,9911.5,0.0,1912.32,13881.84
2020-05-03,0.0,0.0,0.0,11513.33
2020-05-10,0.0,5618.95,0.0,12113.3
2020-05-17,0.0,0.0,1939.71,10790.08
2020-05-24,0.0,2771.42,1749.46,11541.34
2020-05-31,14311.09,5241.45,0.0,14570.85
2020-06-07,9716.01,3910.34,1826.47,12609.09
2020-06-14,0.0,4403.77,2004.81,13476.81
2020-06-21,10978.58,0.0,2310.45,13907.52
2020-06-28,0.0,0.0,0.0,10772.7
2020-07-05,0.0,0.0,2176.18,10819.38
2020-07-12,0.0,6260.34,2139.02,11813.82
2020-07-19,0.0,5104.02,2064.79,10200.28
2020-07-26,0.0,0.0,0.0,9146.96
2020-08-02,0.0,0.0,1973.05,8392.21
2020-08-09,0.0,0.0,0.0,7521.36
2020-08-16,0.0,0.0,0.0,7182.58
2020-08-23,0.0,0.0,2385.18,8569.19
2020-08-30,0.0,0.0,2058.52,8811.27
2020-09-06,0.0,0.0,1862.82,8969.42
2020-09-13,0.0,0.0,0.0,6792.29
2020-09-20,0.0,2397.38,0.0,9442.75
2020-09-27,0.0,5210.97,0.0,9405.76
2020-10-04,0.0,0.0,1870.54,9495.18
2020-10-11,0.0,0.0,2335.53,8808.48
2020-10-18,0.0,4668.61,0.0,9002.83
2020-10-25,10008.18,0.0,1481.87,11189.29
2020-11-01,0.0,0.0,0.0,9604.97
2020-11-08,0.0,4152.27,1547.87,9161.87
2020-11-15,0.0,4065.03,2040.03,11251.27
2020-11-22,14197.86,2780.69,0.0,14062.93
2020-11-29,0.0,4764.45,2211.94,10971.56
2020-12-06,0.0,0.0,1715.6,11855.79
2020-12-13,0.0,7176.59,1859.44,12050.65
2020-12-20,0.0,6386.18,0.0,10936.76
2020-12-27,0.0,5646.96,2129.63,12791.07
2021-01-03,0.0,0.0,2051.03,10415.56
2021-01-10,0.0,6531.3,2314.02,12232.53
2021-01-17,11241.85,0.0,2663.19,14577.87
2021-01-24,9753.07,4717.35,2374.14,14467.49
2021-01-31,10399.57,4450.53,2084.85,14714.04
2021-02-07,0.0,0.0,2138.67,13618.01
2021-02-14,0.0,4277.74,0.0,12165.34
2021-02-21,11758.8,0.0,1896.83,14960.28
2021-02-28,0.0,0.0,0.0,11389.05
2021-03-07,0.0,0.0,0.0,11739.67
2021-03-14,0.0,0.0,1813.2,10722.79
2021-03-21,0.0,4716.49,2034.63,13006.83
2021-03-28,0.0,0.0,0.0,10914.3
2021-04-04,0.0,0.0,2635.26,9716.96
2021-04-11,0.0,0.0,0.0,10525.51
2021-04-18,0.0,3463.48,2019.55,11034.96
2021-04-25,0.0,0.0,0.0,10145.27
2021-05-02,10125.15,0.0,2159.33,13838.12
2021-05-09,6224.97,0.0,0.0,11170.71
2021-05-16,0.0,4946.34,0.0,10953.57
2021-05-23,0.0,0.0,0.0,11436.08
2021-05-30,0.0,0.0,0.0,9762.95
2021-06-06,0.0,4899.3,1818.45,12295.31
2021-06-13,11042.33,4175.93,2184.11,13431.48
2021-06-20,0.0,6588.37,2061.41,11960.02
2021-06-27,0.0,0.0,1796.14,11057.5
2021-07-04,0.0,0.0,1956.81,11164.26
2021-07-11,0.0,0.0,0.0,9662.03
2021-07-18,0.0,0.0,2175.92,9498.47
2021-07-25,10790.89,0.0,0.0,10385.23
2021-08-01,7622.72,0.0,0.0,10199.33
2021-08-08,13280.27,0.0,0.0,10353.73
2021-08-15,13156.63,0.0,0.0,12329.17
2021-08-22,13211.88,0.0,0.0,11011.53
2021-08-29,9314.87,4001.25,1502.96,11633.33
2021-09-05,0.0,0.0,0.0,10049.96
2021-09-12,10169.83,3695.83,2104.8,12765.41
2021-09-19,0.0,0.0,0.0,10539.8
2021-09-26,9652.14,0.0,0.0,10195.62
2021-10-03,0.0,0.0,0.0,8890.41
2021-10-10,6890.34,0.0,2048.76,10947.17
2021-10-17,0.0,0.0,2029.47,9216.83
2021-10-24,0.0,5174.4,1580.57,9934.57
2021-10-31,0.0,6704.28,2013.15,11761.53
